Unnamed: 0,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price
5693,pietra Adjustable Spaghetti Strap Camisole Basic Seamless Tank Top Pack Women,women's clothing,Lingerie & Nightwear,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61F+eoklA9L._AC_UL320_.jpg,https://www.amazon.in/pietra-Adjustable-Spaghetti-Camisole-Seamless/dp/B07NQKKFB1/ref=sr_1_5702?qid=1679155047&s=apparel&sr=1-5702,3.7,496.0,227.0,299.0
14,"ZEBRONICS Zeb-Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible(Black)","tv, audio & cameras",Headphones,https://m.media-amazon.com/images/I/51D37uhFFBL._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-Bro-Wired-Earphone/dp/B07T5DKR5D/ref=sr_1_21?qid=1679128666&s=electronics&sr=1-21,3.5,24675.0,149.0,399.0
255,"Tresemme Hair Fall Defence Shampoo, With Keratin Protein, Upto 97% Less Hair Breakage, 1 Ltr",stores,Amazon Fashion,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51jeplIeylL._AC_UL320_.jpg,https://www.amazon.in/TRESemme-Hair-Defence-Shampoo-1000ml/dp/B07L3YNL2V/ref=sr_1_1696?qid=1679212376&s=apparel&sr=1-1696,4.4,13009.0,641.7,865.0
234,"Zebronics ZEB-COUNTY 3W Wireless Bluetooth Portable Speaker With Supporting Carry Handle, USB, SD Card, AUX, FM & Call Fun...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/81U3kN9bf1L._AC_UL320_.jpg,https://www.amazon.in/Zebronics-Zeb-County-Bluetooth-Speaker-Function/dp/B07YNTJ8ZM/ref=sr_1_237?qid=1679133663&s=electronics&sr=1-237,3.9,66450.0,499.0,999.0
29,"Prestige Electric Kettle PKOSS - 1500watts, Steel (1.5Ltr), Black",home & kitchen,All Home & Kitchen,https://m.media-amazon.com/images/I/71zlLSHbJ-L._AC_UL320_.jpg,https://www.amazon.in/Prestige-Electric-Kettle-PKOSS-1500watts/dp/B01MQZ7J8K/ref=sr_1_54?qid=1679214445&s=kitchen&sr=1-54,3.9,64920.0,699.0,1445.0
1215,Vector X Blaster Cricket Shoes (White-Blue),sports & fitness,"All Sports, Fitness & Outdoors",https://m.media-amazon.com/images/I/8194u7Anw0L._AC_UL320_.jpg,https://www.amazon.in/Vector-White-Blue-Blaster-Cricket-Shoes/dp/B07BDCVFRD/ref=sr_1_9544?qid=1679218542&s=sports&sr=1-9544,3.9,200.0,649.0,1149.0
36,"Mamaearth Onion Hair Fall Shampoo for Hair Growth & Hair Fall Control, with Onion Oil & Plant Keratin 250ml",beauty & health,Health & Personal Care,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/513nPRdxuQL._AC_UL320_.jpg,https://www.amazon.in/Mamaearth-Shampoo-Growth-Control-Keratin/dp/B07WHJ5X6Q/ref=sr_1_157?qid=1679215339&s=hpc&sr=1-157,3.9,35778.0,324.0,349.0
75,Noise Buds VS201 V2 in-Ear Truly Wireless Earbuds with Dual Equalizer | Total 14-Hour Playtime | Full Touch Control | with...,"tv, audio & cameras",Headphones,https://m.media-amazon.com/images/I/61xftZKXvwL._AC_UL320_.jpg,https://www.amazon.in/Noise-Wireless-Equalizer-Resistance-Bluetooth/dp/B098R2XKM3/ref=sr_1_79?qid=1679128670&s=electronics&sr=1-79,3.7,15983.0,999.0,2999.0
2798,Fossil Nate Chronograph Black Dial Men's Watch-JR1401,stores,Men's Fashion,https://m.media-amazon.com/images/I/718AVhhc1GL._AC_UL320_.jpg,https://www.amazon.in/Fossil-Nate-Chronograph-Black-Watch-JR1401/dp/B008AXYWHQ/ref=sr_1_2803?qid=1679150804&s=apparel&sr=1-2803,4.4,8911.0,,13495.0
8092,"SanDisk 512GB Ultra MicroSDXC UHS-I Memory Card - 100MB/s, C10, U1, Full HD, A1, Micro SD Card - SDSQUAR-512G-GN6MN","tv, audio & cameras",Camera Accessories,https://m.media-amazon.com/images/I/81JkguS-cTL._AC_UL320_.jpg,https://www.amazon.in/SanDisk-512GB-Ultra-MicroSDXC-Memory/dp/B07W6H839Y/ref=sr_1_8096?qid=1679133011&s=electronics&sr=1-8096,4.3,589547.0,8022.0,15000.0
848,boAt Bassheads 100 Wired in Ear Earphones with Mic (Mint Orange),"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51WGHlpa-zS._AC_UL320_.jpg,https://www.amazon.in/Bassheads-100-Wired-Earphones-Orange/dp/B08MD23PMW/ref=sr_1_851?qid=1679133702&s=electronics&sr=1-851,4.1,375110.0,399.0,999.0
